Name,Addr
이디야커피 서울공진초교점,"서울 강서구 마곡중앙1로 26 마곡엠리체 101,102호"
이디야커피 방배역점,서울 서초구 방배로 87 1층 3호
이디야커피 종암동점,서울 성북구 종암로 105
이디야커피 황학롯데캐슬점,서울 중구 청계천로 400
이디야커피 종로4가점,서울 종로구 김상옥로 1
이디야커피 신림남부초교점,서울 관악구 남부순환로 1541-1
이디야커피 우이역도선사점,서울 강북구 삼양로173길 21
이디야커피 어린이대공원역점,서울 광진구 광나루로 380
이디야커피 전농사거리점,서울 동대문구 사가정로 132
이디야커피 중앙대점,서울 동작구 흑석로 79 1층
이디야커피 은행사거리점,서울 노원구 중계로 201 오성프라자 102호
이디야커피 쌍문동점,서울 도봉구 노해로 162
이디야커피 한성대역점,서울 성북구 동소문로 19 지하1층~지상2층
이디야커피 회기역점,서울 동대문구 망우로 67 효자워너빌 103호 1층
이디야커피 이문점,서울 동대문구 신이문로 19 1층
이디야커피 박미삼거리점,서울 금천구 시흥대로 150
이디야커피 중화동점,서울 중랑구 동일로129길 1 1층
이디야커피 광진구청점,서울 광진구 자양로 136 1층
이디야커피 마곡대방디엠씨티점,서울 강서구 양천로 344 대방디엠시티오피스텔1차 지하108호
이디야커피 목동역점,서울 양천구 오목로 229 1층
이디야커피 석계역점,서울 노원구 석계로3길 3
이디야커피 종로타워점,서울 종로구 종로 51 지하1층
이디야커피 창신동점,서울 종로구 종로 316-1
이디야 인헌점,서울 관악구 인헌길 17
이디야커피 중계롯데우성점,서울 노원구 노원로22길 70 상가 201호
이디야커피 YTN점,서울 중구 세종대로1길 11
이디야커피 오장동점,서울 중구 마른내로 109-1 1층
이디야커피 목4동점,서울 양천구 목동중앙본로7길 46
이디야커피 장한평 군자초교점,서울 동대문구 한천로2길 53
이디야커피 구산사거리점,서울 은평구 서오릉로 195 1층
이디야커피 월곡동아점,서울 성북구 장월로1길 47 1층
이디야커피 상계역점,서울 노원구 덕릉로 698
이디야커피 문정문현점,서울 송파구 새말로8길 30
이디야커피 서초법조타운점,서울 서초구 서초중앙로24길 7 동천빌딩
이디야커피 쌍문중앙점,"서울 도봉구 도봉로 519 1, 2층"
이디야커피 강서NC점,서울 강서구 강서로54길 11 가동 1층
이디야커피 신정네거리역점,서울 양천구 중앙로 282
이디야커피 중곡대원점,서울 광진구 용마산로 111
이디야커피 세광교회점,서울 금천구 독산로 124
이디야커피 목3동점,서울 양천구 목동중앙북로 38
이디야커피 신림신원점,서울 관악구 신원로 16
이디야커피 충무로3가점,서울 중구 퇴계로27길 31
이디야커피 신길아이파크점,서울 영등포구 도림로 280
이디야커피 역삼월드점,서울 강남구 역삼로52길 14 도곡프라자 102호
이디야커피 올림픽공원점,서울 송파구 올림픽로 354
이디야커피 송파한양점,서울 송파구 가락로 165
이디야커피 강동역점,서울 강동구 천호대로 1065 강동상떼빌 로비층 106호
이디야커피 답십리파크자이점,서울 동대문구 한천로 55
이디야커피 가재울중앙점,서울 서대문구 가재울미래로 2 101동 105호
이디야커피 보라매역점,서울 영등포구 여의대방로 141
이디야커피 중앙대후문점,서울 동작구 흑석로 20
이디야커피 도림사거리점,서울 영등포구 도림로 326
이디야커피 하계온천점,서울 노원구 노원로 257 1층 104호
이디야커피 방화동로점,서울 강서구 방화동로 95
이디야커피 상도역점,서울 동작구 상도로 277
이디야커피 낙성대역점,서울 관악구 남부순환로 1915
이디야커피 서울과학기술대점,서울 노원구 공릉로 208
이디야커피 선릉사거리점,서울 강남구 선릉로 519
이디야커피 개롱역점,서울 송파구 오금로 407 1층 107호
이디야커피 동소문동점,서울 성북구 동소문로13길 5
이디야커피 중림점,서울 중구 청파로 464
이디야커피 CBS본사점,서울 양천구 목동서로 159-1
이디야커피 중계중앙점,서울 노원구 덕릉로73길 18 태인빌딩 1층 104호
이디야커피 서울시립대점,서울 동대문구 서울시립대로 164 1층 104호
이디야커피 상암KBS점,서울 마포구 월드컵북로 375 이안상암1단지 1층 107호
이디야커피 신림문화교점,서울 관악구 신림로 262-1 1층
이디야커피 정릉중앙점,서울 성북구 정릉로 251
이디야커피 신길중앙점,서울 영등포구 도신로 229
이디야 가양역점,서울 강서구 양천로 500 1층 111호
이디야커피 신정서부점,서울 양천구 신정로11길 50-15
이디야커피 양재언남점,서울 서초구 동산로 60
이디야커피 남성역점,서울 동작구 사당로17가길 13 1층
이디야커피 가산월드점,서울 금천구 가산디지털2로 123
이디야커피 중곡역점,서울 광진구 능동로 407
이디야커피 청담사거리점,서울 강남구 도산대로 521
이디야커피 위례아이파크점,서울 송파구 위례광장로 136 애비뉴 트랜짓몰 지하 1층
이디야커피 마포점,서울 마포구 도화길 10
이디야커피 회현SK리더스점,서울 중구 퇴계로 72
이디야커피 용산후암점,서울 용산구 후암로 40-2
이디야커피 정릉뉴타운점,서울 성북구 정릉로 307 라온유아파트 상가동 B107호
이디야커피 충무필동점,서울 중구 퇴계로 218-5
이디야커피 역촌사거리점,서울 은평구 서오릉로 100
이디야커피 봉일시장점,서울 관악구 은천로 23
이디야커피 구반포역점,서울 서초구 신반포로 50
이디야커피 노원중앙점,서울 노원구 노원로 452
이디야커피 돈암아리랑점,서울 성북구 아리랑로 75 돈암코오롱하늘채 상가동 112호
이디야커피 난향동점,서울 관악구 난곡로 60
이디야커피 장위뉴타운점,서울 성북구 장월로 144-1 1층
이디야커피 연대서문점,서울 서대문구 연희로10길 86
